id,gt_count,pred_count,ap50,ap75,ap90,tp50,fp50,fn50
00001,3,3,1.0,0.5,0,3,0,0
00002,4,3,0.75,0.0,0,3,0,1
00010,3,3,0.2,0.0,0,1,2,2
00011,6,3,0.125,0.0,0,1,2,5
00012,5,5,0.25,0.0,0,2,3,3
00016,7,6,0.08333333333333333,0.0,0,1,5,6
00025,2,4,0.2,0.0,0,1,3,1
00030,4,4,0.14285714285714285,0.0,0,1,3,3
